    E= 4411.3  [ 0, 0, 0, 0, 0, 0] 
    E= 5037.7  [ 0, 0, 0, 0, 1, 0] 
    E= 5380.1  [ 0, 0, 0, 0, 0, 1] 
    E= 5429.1  [ 0, 0, 0, 1, 0, 0] 
    E= 5666.4  [ 0, 0, 0, 0, 2, 0] 
    E= 5782.4  [ 0, 0, 1, 0, 0, 0] 
    E= 6007.6  [ 0, 0, 0, 0, 1, 1] 
    E= 6050.8  [ 0, 0, 0, 1, 1, 0] 
    E= 6181.8  [ 0, 1, 0, 0, 0, 0] 
    E= 6297.0  [ 0, 0, 0, 0, 3, 0] 
    E= 6349.4  [ 0, 0, 0, 0, 0, 2] 
    E= 6390.7  [ 0, 0, 0, 1, 0, 1] 
    E= 6405.5  [ 0, 0, 1, 0, 1, 0] 
    E= 6440.5  [ 0, 0, 0, 2, 0, 0] 
    E= 6637.0  [ 0, 0, 0, 0, 2, 1] 
    E= 6673.6  [ 0, 0, 0, 1, 2, 0] 
    E= 6758.7  [ 0, 0, 1, 0, 0, 1] 
    E= 6787.4  [ 0, 0, 1, 1, 0, 0] 
    E= 6804.7  [ 0, 1, 0, 0, 1, 0] 
    E= 6929.3  [ 0, 0, 0, 0, 4, 0] 
    E= 6977.8  [ 0, 0, 0, 0, 1, 2] 
    E= 7013.7  [ 0, 0, 0, 1, 1, 1] 
    E= 7031.0  [ 0, 0, 1, 0, 2, 0] 
    E= 7056.7  [ 0, 0, 0, 2, 1, 0] 
    E= 7138.8  [ 0, 1, 0, 0, 0, 1] 
    E= 7139.9  [ 0, 0, 2, 0, 0, 0] 
    E= 7198.4  [ 0, 1, 0, 1, 0, 0] 
    E= 7268.4  [ 0, 0, 0, 0, 3, 1] 
    E= 7297.0  [ 0, 0, 0, 1, 3, 0] 
    E= 7319.5  [ 0, 0, 0, 0, 0, 3] 
    E= 7352.7  [ 0, 0, 0, 1, 0, 2] 
    E= 7382.7  [ 0, 0, 1, 0, 1, 1] 
    E= 7385.7  [ 1, 0, 0, 0, 0, 0] 
    E= 7396.2  [ 0, 0, 0, 2, 0, 1] 
    E= 7408.4  [ 0, 0, 1, 1, 1, 0] 
    E= 7427.5  [ 0, 1, 0, 0, 2, 0] 
    E= 7448.7  [ 0, 0, 0, 3, 0, 0] 
    E= 7560.9  [ 0, 1, 1, 0, 0, 0] 
    E= 7563.2  [ 0, 0, 0, 0, 5, 0] 
    E= 7608.0  [ 0, 0, 0, 0, 2, 2] 
    E= 7637.7  [ 0, 0, 0, 1, 2, 1] 
    E= 7658.6  [ 0, 0, 1, 0, 3, 0] 
    E= 7673.6  [ 0, 0, 0, 2, 2, 0] 
    E= 7735.4  [ 0, 0, 1, 0, 0, 2] 
    E= 7752.6  [ 0, 0, 1, 1, 0, 1] 
    E= 7760.6  [ 0, 0, 2, 0, 1, 0] 
    E= 7767.3  [ 0, 1, 0, 0, 1, 1] 
    E= 7792.8  [ 0, 0, 1, 2, 0, 0] 
    E= 7817.0  [ 0, 1, 0, 1, 1, 0] 
    E= 7901.6  [ 0, 0, 0, 0, 4, 1] 
    E= 7921.7  [ 0, 0, 0, 1, 4, 0] 
    E= 7938.0  [ 0, 2, 0, 0, 0, 0] 
    E= 7948.8  [ 0, 0, 0, 0, 1, 3] 
    E= 7977.1  [ 0, 0, 0, 1, 1, 2] 
    E= 8009.1  [ 0, 0, 1, 0, 2, 1] 
    E= 8011.2  [ 1, 0, 0, 0, 1, 0] 
    E= 8014.4  [ 0, 0, 0, 2, 1, 1] 
    E= 8033.0  [ 0, 0, 1, 1, 2, 0] 
    E= 8051.8  [ 0, 1, 0, 0, 3, 0] 
    E= 8058.0  [ 0, 0, 0, 3, 1, 0] 
    E= 8098.2  [ 0, 1, 0, 0, 0, 2] 
    E= 8124.7  [ 0, 0, 2, 0, 0, 1] 
    E= 8138.8  [ 0, 0, 2, 1, 0, 0] 
    E= 8150.0  [ 0, 1, 0, 1, 0, 1] 
    E= 8181.5  [ 0, 1, 1, 0, 1, 0] 
